GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdBodyHandlers,108,0,0,0,29,0,3,0,3,0
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdProfile.Builder,82,0,0,0,20,0,6,0,6,0
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdProfile,45,0,0,0,13,0,7,0,7,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,VerifiableCredentialBodyPublishers,37,0,0,0,13,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Issuer.CredentialStatus,16,0,0,0,6,0,3,0,3,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.ExchangeRequest,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.Query,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,VerifiableCredentialBodyHandlers,81,0,8,0,17,0,9,0,5,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,VerifiableCredentialException,72,0,0,0,26,0,8,0,8,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Verifier,126,0,4,0,30,0,12,0,10,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.ProveRequest,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,VerifiablePresentationRequest.Query,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Verifier.VerificationResponse,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder,549,0,20,0,120,0,52,0,42,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Issuer,122,0,4,0,35,0,13,0,11,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,VerifiablePresentationRequest,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Issuer.StatusRequest.Builder,32,0,0,0,6,0,4,0,4,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.new ArrayList() {...},6,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.DerivationRequest,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Holder.new ArrayList() {...},6,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-vc,com.inrupt.client.vc,Issuer.StatusRequest,15,0,0,0,6,0,3,0,3,0
